,Champion,Role,Patch,Win,Summoner1,Summoner2,Turrets_Killed,Total_Minions_Killed,Total_Jungle_Monsters_Killed,Total_Damage_DealtToChampions,Item0,Item1,Item2,Item3,Item4,Item5,Item6,KDA,Kill_Participation,Damage_Share,Turret_Plates_Taken,Gold_Per_Minute,Damage_Per_Minute,Vision_Score_Per_Minute,Lane_Minions_Before_10_Minutes,Jungle_CS_Before_10_Minutes,Sol_Kills,Barons_Killed,Dragons_Killed,Void_Grubs_Killed,Rift_Heralds_Killed,Defense_Rune,Flex_Rune,Offense_Rune,Primary_Tree,Primary_Keystone,Primary_Choice1,Primary_Choice2,Primary_Choice3,Secondary_Tree,Secondary_Choice1,Secondary_Choice2
0,Malphite,MIDDLE,14.13,True,12,4,4,185,2,15857,1054,3118,3020,3100,3145,3113,3340,1.4,0.1891891891891892,0.1282216925476805,0,375.7249366094443,585.9560092275099,0.48610704221514367,66,0.0,1,1,3,3,1,5001,5008,5008,8200,8229,8226,8210,8237,8400,8444,8453
0,Kaisa,JUNGLE,14.13,False,11,4,2,97,210,67044,3157,6672,3153,3115,6675,3124,3340,6.25,0.6578947368421053,0.26038109084836364,0,414.8773208611724,1277.9151038155783,1.0784356072395516,0,74.00000008940697,3,1,4,5,0,5001,5008,5005,8000,8005,9111,9104,8017,8300,8304,8347
0,Sett,JUNGLE,14.13,False,11,4,0,3,81,6592,6631,3047,1028,1036,0,0,3340,1.0,0.6666666666666666,0.2145754798974177,0,356.970558744933,390.69602180082427,0.7349701750735926,0,63.75000008940697,0,0,1,4,0,5001,5008,5005,8000,8010,9111,9105,8299,8300,8304,8347
0,LeeSin,JUNGLE,14.13,False,11,4,0,8,88,7962,3133,6692,3047,2021,0,0,3340,1.0,0.42857142857142855,0.1702934880000334,0,320.9446298173371,338.66346726194,1.0089245557612239,2,62.000000059604645,0,0,1,4,0,5001,5008,5005,8000,8010,9111,9104,8014,8300,8304,8347
0,Zed,TOP,14.13,True,12,4,6,290,16,59270,6698,6696,3026,6699,6694,6333,3340,7.25,0.6304347826086957,0.4111120859872451,5,580.8311071724154,1460.0365574306466,1.1988121124662179,80,0.0,15,3,4,4,1,5001,5008,5008,8100,8112,8139,8138,8106,8200,8210,8237
0,Mordekaiser,TOP,14.13,True,12,4,3,236,2,28411,3157,3116,3075,3047,4633,0,3340,2.2857142857142856,0.7272727272727273,0.2338224569164719,1,482.6417478658595,848.7295609039911,0.6225852491989187,76,0.0,5,1,2,3,0,5001,5008,5008,8000,8010,9111,9105,8299,8400,8453,8473
0,Zed,MIDDLE,14.13,False,12,4,1,208,0,23501,6698,1036,3158,3814,1036,6692,3340,1.6,0.38095238095238093,0.25781045431433564,1,417.66236094520764,852.4142078949108,0.8532130731401165,69,0.0,5,0,2,0,0,5001,5008,5008,8300,8369,8304,8313,8347,8200,8210,8237
0,Gwen,TOP,14.13,True,12,4,10,263,14,37541,4645,4633,3047,3115,3089,1052,3340,13.0,0.3611111111111111,0.2995324926877523,2,549.0022719705007,1166.263361281994,0.4757193266597221,70,0.0,3,1,4,1,0,5001,5008,5005,8000,8010,8009,9104,8299,8400,8473,8451
0,Zed,MIDDLE,14.13,True,12,4,5,301,8,81264,6698,3026,6699,6696,6694,3814,3340,3.625,0.5370370370370371,0.32735067944983764,4,606.528092174368,1792.5523796354234,0.68719716010076,69,0.0,12,1,3,6,0,5001,5008,5008,8300,8369,8304,8313,8347,8200,8210,8237
0,Lux,UTILITY,14.13,True,14,4,3,57,2,36426,3871,6655,4628,3020,4645,3165,3364,3.1,0.7045454545454546,0.2357656507004197,2,381.19431519771945,917.139169388406,2.2643763612945875,10,0.0,0,1,3,6,1,5011,5008,5008,8200,8229,8226,8210,8237,8100,8126,8106
